workflow,package_index,section,chars,tokens_est,section_tokens,pct_of_prompt,cost_usd,quality_roi,static_or_dynamic,calibration,notes
Weekly Strategy,strategy,Product Brain,2257,565,565,9.59,0.000315,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction Evaluation,2,Selected Directions / Concepts,1280,320,320,12.08,0.004450,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction Evaluation,2,Selected Directions / Concepts,1241,311,311,11.74,0.004325,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction Evaluation,2,Selected Directions / Concepts,1308,327,327,12.34,0.004547,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction Evaluation,2,Output JSON Shape,535,134,134,5.06,0.001863,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction Evaluation,2,unallocated_missing_context,0,0,35,1.32,0.000487,Unknown,dynamic,measured_plus_unallocated_missing_context,Exact telemetry exceeds reconstructed text; likely persisted visual/attention/identity/medium context.
Ideation,2,System Prompt,240,60,60,1.58,0.002372,Critical,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,2,Unlabelled Prompt,182,46,46,1.21,0.001819,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,2,Product Brain,1925,482,482,12.72,0.019058,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,2,Strategy Item,166,42,42,1.11,0.001661,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,2,Run Context,189,48,48,1.27,0.001898,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,2,Available Assets,250,63,63,1.66,0.002491,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,2,Anti-Repetition / Recent Memory,140,35,35,0.92,0.001384,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,2,Selected Directions / Concepts,77,20,20,0.53,0.000791,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,2,Selected Directions / Concepts,925,232,232,6.12,0.009173,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,2,Selected Directions / Concepts,842,211,211,5.57,0.008343,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,2,Selected Directions / Concepts,883,221,221,5.83,0.008738,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,2,Hard Constraints,1242,311,311,8.21,0.012297,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,2,Output JSON Shape,1398,350,350,9.24,0.013839,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,2,unallocated_missing_context,0,0,1668,44.02,0.065953,Unknown,dynamic,measured_plus_unallocated_missing_context,Exact telemetry exceeds reconstructed text; likely persisted visual/attention/identity/medium context.
Creative Critic,2,System Prompt,373,94,37,1.12,0.000316,Critical,static,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Creative Critic,2,Scoring Instructions,59,15,5,0.15,0.000043,Unknown,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Creative Critic,2,Strategy Item,885,222,88,2.67,0.000751,Critical,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Creative Critic,2,Scoring Instructions,262,66,26,0.79,0.000222,Unknown,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Creative Critic,2,Selected Directions / Concepts,5063,1266,503,15.25,0.004292,Critical,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Creative Critic,2,Selected Directions / Concepts,5008,1252,496,15.03,0.004233,Critical,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Creative Critic,2,Selected Directions / Concepts,5040,1260,501,15.19,0.004275,Critical,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Creative Critic,2,Selected Directions / Concepts,5082,1271,505,15.31,0.004309,Critical,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Creative Critic,2,Selected Directions / Concepts,5477,1370,544,16.49,0.004642,Critical,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Creative Critic,2,Selected Directions / Concepts,5308,1327,527,15.97,0.004497,Critical,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Creative Critic,2,Output JSON Shape,677,170,67,2.03,0.000572,Useful,static,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Presentation Generation,2,System Prompt,349,88,88,0.16,0.000511,Critical,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,2,Product Brain,2257,565,565,1.06,0.003280,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,2,Hard Constraints,244,61,61,0.11,0.000354,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,2,Pain Points,1667,417,417,0.78,0.002421,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,2,Proof Pool,819,205,205,0.38,0.001190,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,2,Scenario Pool,2338,585,585,1.09,0.003396,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,2,Website Rules,1506,377,377,0.70,0.002188,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,2,Funnel Asset Policy,319,80,80,0.15,0.000464,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,2,Strategy Item,162,41,41,0.08,0.000238,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,2,Creative Directive / Safety,888,222,222,0.42,0.001289,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,2,Creative Directive / Safety,624,156,156,0.29,0.000906,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,2,Package Diversity,706,177,177,0.33,0.001027,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,2,Attention First,1150,288,288,0.54,0.001672,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,2,Creative Candidate,9846,2462,2462,4.60,0.014291,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,2,Creative DNA,2174,544,544,1.02,0.003158,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,2,Content Quality,1413,354,354,0.66,0.002055,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,2,Hook V2,1313,329,329,0.62,0.001910,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,2,Visual Creative Rules,548,137,137,0.26,0.000795,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,2,Visual Creative Rules,6694,1674,1674,3.13,0.009717,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,2,Available Assets,3443,861,861,1.61,0.004998,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,2,Asset Evidence,440,110,110,0.21,0.000639,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,2,Smart Asset Rules,1682,421,421,0.79,0.002444,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,2,Presentation Block,9540,2385,2385,4.46,0.013844,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,2,Visual Scene Plan,975,244,244,0.46,0.001416,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,2,Asset Library Rules,644,161,161,0.30,0.000935,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,2,Platform Style,578,145,145,0.27,0.000842,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,2,Platform Style,2611,653,653,1.22,0.003790,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,2,Task / Output JSON Shape,2222,556,556,1.04,0.003227,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,2,unallocated_missing_context,0,0,39181,73.26,0.227428,Unknown,dynamic,measured_plus_unallocated_missing_context,Exact telemetry exceeds reconstructed text; likely persisted visual/attention/identity/medium context.
Story Integrity Repair,2,System Prompt,349,88,88,0.34,0.000452,Critical,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Story Integrity Repair,2,Product Brain,2257,565,565,2.19,0.002904,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Story Integrity Repair,2,Hard Constraints,244,61,61,0.24,0.000314,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Story Integrity Repair,2,Pain Points,1667,417,417,1.61,0.002144,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Story Integrity Repair,2,Proof Pool,819,205,205,0.79,0.001054,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Story Integrity Repair,2,Scenario Pool,2338,585,585,2.26,0.003007,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Story Integrity Repair,2,Website Rules,1506,377,377,1.46,0.001938,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Story Integrity Repair,2,Funnel Asset Policy,319,80,80,0.31,0.000411,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Story Integrity Repair,2,Strategy Item,162,41,41,0.16,0.000211,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Story Integrity Repair,2,Creative Directive / Safety,888,222,222,0.86,0.001141,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Story Integrity Repair,2,Creative Directive / Safety,624,156,156,0.60,0.000802,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Story Integrity Repair,2,Package Diversity,706,177,177,0.68,0.000910,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Story Integrity Repair,2,Attention First,1150,288,288,1.11,0.001480,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Story Integrity Repair,2,Creative Candidate,9846,2462,2462,9.52,0.012655,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Story Integrity Repair,2,Creative DNA,2174,544,544,2.10,0.002796,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Story Integrity Repair,2,Content Quality,1413,354,354,1.37,0.001820,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Story Integrity Repair,2,Hook V2,1313,329,329,1.27,0.001691,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Story Integrity Repair,2,Visual Creative Rules,548,137,137,0.53,0.000704,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Story Integrity Repair,2,Visual Creative Rules,6694,1674,1674,6.47,0.008605,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Story Integrity Repair,2,Available Assets,3443,861,861,3.33,0.004426,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Story Integrity Repair,2,Asset Evidence,440,110,110,0.43,0.000565,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Story Integrity Repair,2,Smart Asset Rules,1682,421,421,1.63,0.002164,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Story Integrity Repair,2,Presentation Block,9540,2385,2385,9.22,0.012260,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Story Integrity Repair,2,Visual Scene Plan,975,244,244,0.94,0.001254,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Story Integrity Repair,2,Asset Library Rules,644,161,161,0.62,0.000828,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Story Integrity Repair,2,Platform Style,578,145,145,0.56,0.000745,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Story Integrity Repair,2,Platform Style,2611,653,653,2.53,0.003357,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Story Integrity Repair,2,Task / Output JSON Shape,2222,556,556,2.15,0.002858,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Story Integrity Repair,2,Repair Appendix,94,24,24,0.09,0.000123,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Story Integrity Repair,2,unallocated_missing_context,0,0,11532,44.60,0.059278,Unknown,dynamic,measured_plus_unallocated_missing_context,Exact telemetry exceeds reconstructed text; likely persisted visual/attention/identity/medium context.
Direction,6,System Prompt,341,86,86,4.15,0.001467,Critical,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction,6,Unlabelled Prompt,73,19,19,0.92,0.000324,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction,6,Product Brain,1897,475,475,22.90,0.008103,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction,6,Strategy Item,166,42,42,2.03,0.000717,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction,6,Run Context,147,37,37,1.78,0.000631,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction,6,Anti-Repetition / Recent Memory,159,40,40,1.93,0.000682,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction,6,Direction Definition,448,112,112,5.40,0.001911,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction,6,Hard Constraints,475,119,119,5.74,0.002030,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction,6,Output JSON Shape,507,127,127,6.12,0.002167,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction,6,unallocated_missing_context,0,0,1017,49.04,0.017350,Unknown,dynamic,measured_plus_unallocated_missing_context,Exact telemetry exceeds reconstructed text; likely persisted visual/attention/identity/medium context.
Direction Evaluation,6,System Prompt,275,69,69,2.63,0.001014,Critical,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction Evaluation,6,Unlabelled Prompt,72,18,18,0.69,0.000265,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction Evaluation,6,Strategy Item,682,171,171,6.51,0.002514,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction Evaluation,6,Anti-Repetition / Recent Memory,44,11,11,0.42,0.000162,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction Evaluation,6,Scoring Instructions,155,39,39,1.49,0.000573,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction Evaluation,6,Selected Directions / Concepts,1118,280,280,10.67,0.004117,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction Evaluation,6,Selected Directions / Concepts,1177,295,295,11.24,0.004337,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction Evaluation,6,Selected Directions / Concepts,1198,300,300,11.43,0.004411,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction Evaluation,6,Selected Directions / Concepts,1145,287,287,10.93,0.004220,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction Evaluation,6,Selected Directions / Concepts,1133,284,284,10.82,0.004176,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction Evaluation,6,Selected Directions / Concepts,1133,284,284,10.82,0.004176,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction Evaluation,6,Selected Directions / Concepts,1197,300,300,11.43,0.004411,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction Evaluation,6,Output JSON Shape,535,134,134,5.10,0.001970,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction Evaluation,6,unallocated_missing_context,0,0,153,5.83,0.002250,Unknown,dynamic,measured_plus_unallocated_missing_context,Exact telemetry exceeds reconstructed text; likely persisted visual/attention/identity/medium context.
Ideation,6,System Prompt,240,60,60,1.49,0.002303,Critical,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,6,Unlabelled Prompt,182,46,46,1.14,0.001766,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,6,Product Brain,1925,482,482,11.97,0.018501,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,6,Strategy Item,166,42,42,1.04,0.001612,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,6,Run Context,181,46,46,1.14,0.001766,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,6,Available Assets,250,63,63,1.56,0.002418,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,6,Anti-Repetition / Recent Memory,140,35,35,0.87,0.001343,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,6,Selected Directions / Concepts,77,20,20,0.50,0.000768,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,6,Selected Directions / Concepts,827,207,207,5.14,0.007945,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,6,Selected Directions / Concepts,842,211,211,5.24,0.008099,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,6,Selected Directions / Concepts,813,204,204,5.07,0.007830,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,6,Hard Constraints,1242,311,311,7.72,0.011937,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,6,Output JSON Shape,1398,350,350,8.69,0.013434,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,6,unallocated_missing_context,0,0,1949,48.41,0.074810,Unknown,dynamic,measured_plus_unallocated_missing_context,Exact telemetry exceeds reconstructed text; likely persisted visual/attention/identity/medium context.
Ideation,6,System Prompt,240,60,60,1.45,0.002485,Critical,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,6,Unlabelled Prompt,182,46,46,1.11,0.001905,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,6,Product Brain,1925,482,482,11.67,0.019960,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,6,Strategy Item,166,42,42,1.02,0.001739,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,6,Run Context,181,46,46,1.11,0.001905,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,6,Available Assets,250,63,63,1.53,0.002609,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,6,Anti-Repetition / Recent Memory,140,35,35,0.85,0.001449,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,6,Selected Directions / Concepts,77,20,20,0.48,0.000828,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,6,Selected Directions / Concepts,827,207,207,5.01,0.008572,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,6,Selected Directions / Concepts,842,211,211,5.11,0.008738,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,6,Selected Directions / Concepts,813,204,204,4.94,0.008448,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,6,Hard Constraints,1242,311,311,7.53,0.012879,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,6,Output JSON Shape,1398,350,350,8.48,0.014494,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,6,unallocated_missing_context,0,0,2052,49.70,0.084973,Unknown,dynamic,measured_plus_unallocated_missing_context,Exact telemetry exceeds reconstructed text; likely persisted visual/attention/identity/medium context.
Creative Critic,6,System Prompt,373,94,37,0.98,0.000319,Critical,static,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Creative Critic,6,Scoring Instructions,59,15,5,0.13,0.000043,Unknown,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Creative Critic,6,Strategy Item,885,222,87,2.29,0.000751,Critical,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Creative Critic,6,Scoring Instructions,262,66,25,0.66,0.000216,Unknown,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Creative Critic,6,Selected Directions / Concepts,5833,1459,574,15.13,0.004956,Critical,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Creative Critic,6,Selected Directions / Concepts,5953,1489,587,15.47,0.005068,Critical,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Creative Critic,6,Selected Directions / Concepts,6160,1540,607,16.00,0.005241,Critical,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Creative Critic,6,Selected Directions / Concepts,5914,1479,583,15.37,0.005034,Critical,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Creative Critic,6,Selected Directions / Concepts,6098,1525,601,15.84,0.005189,Critical,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Creative Critic,6,Selected Directions / Concepts,6312,1578,622,16.39,0.005370,Critical,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Creative Critic,6,Output JSON Shape,677,170,66,1.74,0.000570,Useful,static,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Presentation Generation,6,System Prompt,349,88,88,0.30,0.000027,Critical,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,6,Product Brain,2257,565,565,1.94,0.000174,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,6,Hard Constraints,244,61,61,0.21,0.000019,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,6,Pain Points,1667,417,417,1.43,0.000129,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,6,Proof Pool,819,205,205,0.70,0.000063,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,6,Scenario Pool,2338,585,585,2.00,0.000181,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,6,Website Rules,1506,377,377,1.29,0.000116,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,6,Funnel Asset Policy,319,80,80,0.27,0.000025,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,6,Strategy Item,162,41,41,0.14,0.000013,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,6,Creative Directive / Safety,888,222,222,0.76,0.000069,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,6,Creative Directive / Safety,624,156,156,0.53,0.000048,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,6,Package Diversity,698,175,175,0.60,0.000054,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,6,Attention First,1150,288,288,0.99,0.000089,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,6,Creative Candidate,10582,2646,2646,9.06,0.000817,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,6,Creative DNA,2339,585,585,2.00,0.000181,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,6,Content Quality,1413,354,354,1.21,0.000109,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,6,Hook V2,1313,329,329,1.13,0.000102,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,6,Visual Creative Rules,548,137,137,0.47,0.000042,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,6,Visual Creative Rules,6694,1674,1674,5.73,0.000517,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,6,Available Assets,3443,861,861,2.95,0.000266,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,6,Asset Evidence,440,110,110,0.38,0.000034,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,6,Smart Asset Rules,1682,421,421,1.44,0.000130,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,6,Presentation Block,9540,2385,2385,8.17,0.000736,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,6,Visual Scene Plan,975,244,244,0.84,0.000075,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,6,Asset Library Rules,644,161,161,0.55,0.000050,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,6,Platform Style,578,145,145,0.50,0.000045,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,6,Platform Style,2611,653,653,2.24,0.000202,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,6,Task / Output JSON Shape,2222,556,556,1.90,0.000172,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,6,unallocated_missing_context,0,0,14675,50.26,0.004531,Unknown,dynamic,measured_plus_unallocated_missing_context,Exact telemetry exceeds reconstructed text; likely persisted visual/attention/identity/medium context.
Direction,7,System Prompt,341,86,86,3.78,0.001359,Critical,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction,7,Unlabelled Prompt,73,19,19,0.83,0.000300,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
